,brand,Model,Price,processor_brand,processor_tier,ram_memory,primary_storage_type,primary_storage_capacity,gpu_brand,gpu_type,display_size,OS,year_of_warranty
807,asus,Asus ROG Zephyrus G14 2023 GA402XZ-N2020WS Gaming Laptop (AMD Ryzen 9 7940HS/ 32GB/ 1TB SSD/ Win11/ 12GB Graph),260990,amd,ryzen 9,32,SSD,1024,nvidia,dedicated,14.0,windows,1
808,asus,Asus ROG Zephyrus G14 2023 GA402NU-N2023WS Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),149990,amd,ryzen 7,16,SSD,1024,nvidia,dedicated,14.0,windows,1
809,asus,Asus TUF Gaming A17 FA777XU-HX026WS Gaming Laptop (AMD Ryzen 9 7940HS / 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),134990,amd,ryzen 9,16,SSD,1024,nvidia,dedicated,17.3,windows,1
810,asus,Asus Vivobook 15X OLED M3504YA-LK541WS Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),60379,amd,ryzen 5,16,SSD,512,intel,integrated,15.6,windows,1
811,lenovo,Lenovo IdeaPad 3 15IAU7 82RK00LWIN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),52794,intel,core i5,8,SSD,512,intel,integrated,15.6,windows,1
812,asus,Asus ROG Flow Z13 2023 GZ301VV-MU014WS Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),209890,intel,core i9,16,SSD,1024,nvidia,dedicated,13.4,windows,1
813,asus,Asus TUF Gaming F15 2023 FX507VV-LP071WS Gaming Laptop (13th Gen Core i9/ 16GB/1TB SSD/ Win11 Home/ 8GB Graph),154990,intel,core i9,16,SSD,1024,nvidia,dedicated,15.6,windows,1
814,asus,Asus Vivobook S15 2022 K3502ZA-KJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),69990,intel,core i5,16,SSD,512,intel,integrated,15.6,windows,1
815,asus,Asus Vivobook 16X 2023 K3605ZC-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),84950,intel,core i5,16,SSD,512,nvidia,dedicated,16.0,windows,1
816,hp,HP Victus 15-fa0092TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),69990,intel,core i5,16,SSD,512,nvidia,dedicated,15.6,windows,1
817,acer,Acer Predator Helios 16 PH16-71 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),143400,intel,core i7,16,SSD,512,nvidia,dedicated,16.0,windows,1
818,asus,Asus Vivobook Pro 15 OLED K6502VU-MA541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),113401,intel,core i5,16,SSD,512,nvidia,dedicated,15.6,windows,1
819,dell,Dell Alienware x14 R2 2023 Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11/ 8GB Graph),225490,intel,core i7,32,SSD,1024,nvidia,dedicated,14.0,windows,1
820,dell,Dell Alienware m16 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 8GB Graph),220990,intel,core i7,16,SSD,1024,nvidia,dedicated,16.0,windows,1
821,hp,HP 15-hr0000TU Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),67400,intel,core i5,8,SSD,512,intel,integrated,15.6,windows,1
822,hp,HP 15-hr0001TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),64990,intel,core i5,16,SSD,512,intel,integrated,15.6,windows,1
823,msi,MSI Thin GF63 12UCX-269IN Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),76990,intel,core i5,16,HDD,1024,nvidia,dedicated,15.6,windows,No information
824,msi,MSI Katana 15 B12UDXK-1006IN Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 6GB Graph),72990,intel,core i5,8,SSD,512,nvidia,dedicated,15.6,windows,2
825,acer,Acer Swift Go 14 SFG14-41 NX.KG3SI.003 Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),58990,amd,ryzen 5,16,SSD,512,amd,integrated,14.0,windows,1
826,hp,HP 15s-eq1580AU Laptop (AMD Ryzen 3 3250U/ 8GB/ 512GB SSD/ Win11 Home),32990,amd,ryzen 3,8,SSD,512,amd,integrated,15.6,windows,1
827,hp,HP 15-fd0021TU Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),61490,intel,core i5,8,SSD,512,intel,integrated,15.6,windows,1
828,asus,Asus Vivobook S15 OLED 2023 S5504VA-MA741WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),105990,intel,core i7,16,SSD,512,intel,integrated,15.6,windows,1
829,msi,MSI Thin GF63 12VE-267IN Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11/6GB Graphics),86990,intel,core i5,16,HDD,1024,nvidia,dedicated,15.6,windows,No information
830,asus,Asus Vivobook 16X 2023 K3605VC-MB951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),111439,intel,core i9,16,SSD,1024,nvidia,dedicated,16.0,windows,1
831,msi,MSI Stealth 16 Studio A13VG-030IN Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),249990,intel,core i7,32,SSD,1024,nvidia,dedicated,16.0,windows,2
832,asus,Asus Vivobook 14X 2023 K3405VF-LY541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/4 GB Graphics),76619,intel,core i5,16,SSD,512,nvidia,dedicated,14.0,windows,1
833,acer,Acer Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),142999,intel,core i7,16,SSD,1024,nvidia,dedicated,16.0,windows,1
834,asus,Asus Vivobook 14X OLED 2023 K3405VCB-KM542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/4 GB Graphics),93999,intel,core i5,16,SSD,512,nvidia,dedicated,14.0,windows,1
835,asus,Asus Vivobook Pro 15 OLED K6502VU-MA951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),161513,intel,core i9,16,SSD,1024,nvidia,dedicated,15.6,windows,1
836,asus,Asus Zenbook Pro 14 Duo OLED 2023 UX8402VU-MZ551WS Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),199990,intel,core i5,16,SSD,1024,nvidia,dedicated,14.5,windows,1
837,hp,HP ProBook 440 G9 6J8T1PA Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),118000,intel,core i7,16,SSD,512,intel,integrated,14.0,windows,1
838,hp,HP 15-fd0024TU Laptop (13th Gen Core i7/ 16GB/ 512 GB SSD/ Win11 Home),79590,intel,core i7,16,SSD,512,intel,integrated,15.6,windows,1
839,msi,MSI GF63 Thin 11SC-1298IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph),63990,intel,core i7,16,HDD,1024,nvidia,dedicated,15.6,windows,No information
840,asus,Asus VivoBook 15 X515EA-EJ342WS Laptop (11th Gen Core i3/ 16GB/ 512GB SSD/ Win11),35990,intel,core i3,16,SSD,512,intel,integrated,15.6,windows,1
841,hp,HP 15s-fy5002TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),52990,intel,core i5,8,SSD,512,intel,integrated,15.6,windows,1
842,lenovo,Lenovo IdeaPad Gaming 3 15ACH6 82K2022XIN Laptop (AMD Ryzen 7-5800H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),63190,amd,ryzen 7,8,SSD,512,nvidia,dedicated,15.6,windows,1
843,lenovo,Lenovo Ideapad Gaming 3 15ACH6 82K20145IN Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),81000,amd,ryzen 7,16,SSD,512,nvidia,dedicated,15.6,windows,1
844,acer,Acer One 14 Z8-415 Laptop (11th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),39990,intel,core i5,8,SSD,512,intel,integrated,14.0,windows,1
845,dell,Dell Alienware X16 R1 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),388490,intel,core i9,32,SSD,1024,nvidia,dedicated,16.0,windows,1
846,hp,HP 15s-fy5003TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),40100,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
847,dell,Dell Alienware M18 R1 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),368490,intel,core i9,32,SSD,1024,nvidia,dedicated,18.0,windows,1
848,acer,Acer One 11 Z8-284 UN.013SI.014 Laptop ( Intel Celeron N4500/ 8GB/ 256GB SSD/ Win11 Home),36800,intel,celeron,8,SSD,256,intel,integrated,11.6,windows,1
849,hp,HP 15-fc0030AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),46490,amd,ryzen 5,16,SSD,512,amd,integrated,15.6,windows,1
850,acer,Acer 16 Predator Neo NH.QLTSI.001 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),104999,intel,core i5,16,SSD,512,nvidia,dedicated,16.0,windows,1
851,hp,HP 15-fd0018TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),47650,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
852,acer,Acer Predator Helios Neo 16 NH.QLTSI.002 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),114990,intel,core i7,16,SSD,512,nvidia,dedicated,16.0,windows,1
853,hp,HP 15-fd0006TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),46990,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
854,hp,HP 15-fd0011TU Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),60490,intel,core i5,8,SSD,512,intel,integrated,15.6,windows,1
855,hp,HP Victus 15-fb0122AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),49990,amd,ryzen 5,8,SSD,512,nvidia,dedicated,15.6,windows,1
856,hp,HP 15-fd0012TU Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),65590,intel,core i5,8,SSD,1024,intel,integrated,15.6,windows,1
857,realme,Realme Book Prime CloudPro002 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),42990,intel,core i5,8,SSD,512,intel,integrated,14.0,windows,1
858,hp,HP ProBook 440 G8 5D6U3PA Notebook PC (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),71000,intel,core i5,8,SSD,512,intel,integrated,14.0,windows,1
859,asus,Asus VivoBook 15 X515MA-BR024WS Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),30927,intel,celeron,8,SSD,512,intel,integrated,15.6,windows,1
860,dell,Dell Vostro 15 3510 2023 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),47990,intel,core i5,8,SSD,512,intel,integrated,15.6,windows,1
861,asus,Asus Vivobook 15 2023 X1504VA-NJ321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),46288,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
862,asus,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),124990,intel,core i5,16,SSD,512,nvidia,dedicated,16.0,windows,1
863,dell,Dell Vostro 3420 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),51990,intel,core i5,16,SSD,512,intel,integrated,14.0,windows,1
864,asus,Asus Vivobook Go 15 OLED 2023 E1504FA-LK545WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),58990,amd,ryzen 5,16,SSD,512,amd,integrated,15.6,windows,1
865,dell,Dell Vostro 3425 Laptop (AMD Ryzen 5-5500U/ 8GB/ 512GB SSD/ Win11 Home),38490,amd,ryzen 5,8,SSD,512,amd,integrated,14.0,windows,1
866,acer,Acer Aspire 5 A515-56G Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 2GB Graph),44994,intel,core i5,8,SSD,512,nvidia,dedicated,15.6,windows,1
867,acer,Acer Nitro 5 AN515-46 Gaming Laptop (Ryzen 5 6600H/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),88990,amd,ryzen 5,16,SSD,1024,nvidia,dedicated,15.6,windows,1
868,msi,MSI Thin GF63 12VF-268IN Laptop (12th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11/ 8GB Graph),96990,intel,core i5,16,HDD,1024,nvidia,dedicated,15.6,windows,No information
869,asus,Asus VivoBook 14 X1400EA-EK322WS Notebook (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),31990,intel,core i3,8,SSD,512,intel,integrated,14.0,windows,1
870,asus,Asus Zenbook 14 Flip OLED 2023 UP3404VA-KN742WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),132000,intel,core i7,16,SSD,512,intel,integrated,14.0,windows,1
871,asus,Asus Zenbook 14 OLED 2023 UX3402VA-KN741WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),115990,intel,core i7,16,SSD,512,intel,integrated,14.0,windows,1
872,asus,Asus Vivobook 14X OLED 2023 K3405VFB-KM541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/4 GB Graphics),89990,intel,core i5,16,SSD,512,nvidia,dedicated,14.0,windows,1
873,hp,HP Victus 15-fa1066TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),109990,intel,core i7,16,SSD,512,nvidia,dedicated,15.6,windows,1
874,msi,MSI Summit E13 Flip Evo A11MT-213IN Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win10),81990,intel,core i7,16,SSD,512,intel,integrated,13.4,windows,2
875,hp,HP Pavilion 15-eg2017TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),52590,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
876,asus,Asus Zenbook 14 OLED 2023 UX3402VA-KN541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),91240,intel,core i5,16,SSD,512,intel,integrated,14.0,windows,1
877,asus,Asus Vivobook 16 2023 X1605VAB-MB544WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),62990,intel,core i5,16,SSD,512,intel,integrated,16.0,windows,1
878,msi,MSI Summit E13 Flip Evo A11MT-214IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),69990,intel,core i5,16,SSD,512,intel,integrated,13.4,windows,2
879,hp,HP Victus 16-d0333TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),64500,intel,core i5,16,SSD,512,nvidia,dedicated,16.1,windows,1
880,asus,Asus Vivobook Flip 14 2023 TP3402VAB-LZ542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),71938,intel,core i5,16,SSD,512,intel,integrated,14.0,windows,1
881,hp,HP Victus 15-fb0121AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),51990,amd,ryzen 5,8,SSD,512,nvidia,dedicated,15.6,windows,1
882,hp,HP 15s-fq2738TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),33989,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
883,asus,Asus Vivobook 15 X1502ZA-EJ953WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),39790,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
884,hp,HP Omen 16-n0123AX Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),119990,amd,ryzen 7,16,SSD,1024,nvidia,dedicated,16.1,windows,1
885,msi,MSI Raider GE68HX 13VG-027IN Gaming Laptop (13th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 8GB Graph),260990,intel,core i9,32,SSD,2048,nvidia,dedicated,16.0,windows,2
886,asus,Asus Vivobook Go 14 E1404GA-NK322WS Laptop (Intel Core i3-N305/ 8GB/ 512GB SSD/ Win11 Home),38980,intel,core i3,8,SSD,512,intel,integrated,14.0,windows,1
887,asus,Asus Vivobook 15 2023 X1504VA-NJ523WS Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),55990,intel,core i5,8,SSD,512,intel,integrated,15.6,windows,1
888,msi,MSI Thin GF63 12UCX-265IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),65190,intel,core i5,16,SSD,512,nvidia,dedicated,15.6,windows,2
889,msi,MSI GF63 Thin 11UC-1295IN Gaming Laptop (11th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),72990,intel,core i5,16,HDD,1024,nvidia,dedicated,15.6,windows,No information
890,acer,Acer Nitro 5 AN515-47 2023 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),68990,amd,ryzen 5,16,SSD,512,nvidia,dedicated,15.6,windows,1
891,acer,Acer Predator Helios 16 PH16-71 Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),200090,intel,core i7,32,SSD,1024,nvidia,dedicated,16.0,windows,1
892,acer,Acer Nitro 5 AN515-47 Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),77890,amd,ryzen 7,16,SSD,512,nvidia,dedicated,15.6,windows,1
893,msi,MSI Stealth 16 Studio A13VF-023IN Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),219990,intel,core i7,32,SSD,1024,nvidia,dedicated,15.6,windows,2
894,lenovo,Lenovo ThinkPad P14s 21AKS02800 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Pro/ 4GB Graphics),123271,intel,core i7,16,SSD,512,nvidia,dedicated,14.0,windows,3
895,asus,Asus Vivobook 15X OLED 2023 K3504VA-LK552WS Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),70990,intel,core i5,16,SSD,1024,intel,integrated,15.6,windows,1
896,msi,MSI Raider GE68HX 13VG-026IN Gaming Laptop (13th Gen Core i7/ 32GB/ 2TB SSD/ Win11 Home/ 8GB Graph),215990,intel,core i7,32,SSD,2048,nvidia,dedicated,16.0,windows,2
897,msi,MSI Stealth 14 Studio A13VF-037IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),171990,intel,core i7,16,SSD,1024,nvidia,dedicated,15.6,windows,2
898,msi,MSI GF63 Thin 11UC-1297IN Gaming Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),69990,intel,core i5,8,HDD,1024,nvidia,dedicated,15.6,windows,No information
899,asus,Asus Vivobook 15X 2023 K3504VAB-NJ541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),62500,intel,core i5,16,SSD,512,intel,integrated,15.6,windows,1
900,asus,Asus Vivobook 16 2023 X1605VA-MB541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),68800,intel,core i5,16,SSD,512,intel,integrated,16.0,windows,1
901,hp,HP Spectre x360 2023 13.5-ef2034TU Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home),143824,intel,core i7,32,SSD,1024,intel,integrated,13.5,windows,1
902,asus,Asus Vivobook S15 OLED 2023 K5504VA-LK542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),85990,intel,core i5,16,SSD,512,intel,integrated,15.6,windows,1
903,asus,Asus VivoBook 14 2023 X1404VA-NK321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),45990,intel,core i3,8,SSD,512,intel,integrated,14.0,windows,1
904,asus,Asus VivoBook 14 2023 X1404VA-NK522WS Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),59990,intel,core i5,8,SSD,512,intel,integrated,14.0,windows,1
905,asus,Asus Zenbook 14 Flip OLED 2023 UP3404VA-KN542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),104990,intel,core i5,16,SSD,512,intel,integrated,14.0,windows,1
906,asus,Asus Vivobook 15X OLED 2023 K3504VA-LK542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),68390,intel,core i5,16,SSD,512,intel,integrated,15.6,windows,1
907,asus,Asus Zenbook S13 OLED 2023 UX5304VA-NQ542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),97990,intel,core i5,16,SSD,512,intel,integrated,13.3,windows,1
