,brand,Model,Price,processor_brand,processor_tier,ram_memory,primary_storage_type,primary_storage_capacity,gpu_brand,gpu_type,display_size,OS,year_of_warranty
908,asus,Asus Zenbook 14 OLED 2023 UX3402VA-KM541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),92990,intel,core i5,16,SSD,512,intel,integrated,14.0,windows,1
909,asus,Asus Vivobook 15 2023 X1502VA-NJ541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),64990,intel,core i5,16,SSD,512,intel,integrated,15.6,windows,1
910,asus,Asus Vivobook 15 OLED 2023 X1505VA-LK542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),74990,intel,core i5,16,SSD,512,intel,integrated,15.6,windows,1
911,asus,Asus Vivobook Go 15 OLED 2023 E1504GA-LK322WS Laptop (Intel Core i3-N305/ 8GB/ 512GB SSD/ Win11 Home),43990,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
912,dell,Dell Inspiron 3525 D560771WIN9S Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11),44990,amd,ryzen 5,8,SSD,512,amd,integrated,15.6,windows,1
913,asus,Asus VivoBook 14 2023 X1404VA-NK541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),63990,intel,core i5,16,SSD,512,intel,integrated,14.0,windows,1
914,asus,Asus Vivobook Go 15 2023 E1504GA-NJ322WS Laptop (Intel Core i3-N305/ 8GB/ 512GB SSD/ Win11 Home),39242,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
915,asus,Asus Zenbook 14 Flip OLED 2023 UP3404VA-KN753WS Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),129990,intel,core i7,16,SSD,1024,intel,integrated,14.0,windows,1
916,asus,Asus Vivobook S14 Flip 2022 TN3402QA-LZ520WS Laptop (AMD Ryzen 5-5600H/ 8GB/ 512GB SSD/Win11),58990,amd,ryzen 5,8,SSD,512,amd,integrated,14.0,windows,1
917,lenovo,Lenovo V15 82QYA00MIN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),22239,intel,celeron,8,SSD,256,intel,integrated,15.6,windows,1
918,hp,HP 255 G9 7B1L8PA Laptop (AMD Ryzen 5 5625U/ 8GB/ 512 GB SSD/ Win11 Home),37490,amd,ryzen 5,8,SSD,512,amd,integrated,15.6,windows,1
919,dell,Dell Vostro 3420 D552317WIN9B Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),55900,intel,core i5,8,SSD,512,intel,integrated,15.6,windows,1
920,msi,MSI Bravo 15 B5ED-035IN Gaming Laptop (AMD Ryzen 7 / 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),61990,amd,ryzen 7,16,SSD,512,amd,dedicated,15.6,windows,1
921,hp,HP Spectre x360 16-f2002TU Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),145899,intel,core i7,16,SSD,1024,intel,integrated,16.0,windows,1
922,hp,HP Spectre x360 2023 13.5-ef2033TU Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),138511,intel,core i7,16,SSD,1024,intel,integrated,13.5,windows,1
923,lenovo,Lenovo V15 G2 IJL 82QYA00HIN Laptop (Celeron N4500/ 8GB/ 256GB SSD/ DOS),21990,intel,celeron,8,SSD,256,intel,integrated,15.6,dos,1
924,honor,Honor MagicBook 15 BMH-WFQ9HN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),43990,amd,ryzen 5,16,SSD,512,amd,integrated,15.6,windows,1
925,acer,Acer Aspire 7 A715-75G Gaming Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),45990,intel,core i5,8,SSD,512,nvidia,dedicated,15.6,windows,1
926,acer,Acer Aspire 3 15 A315-510P Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),32990,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
927,acer,Acer Aspire 3 14 A314-36M Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),32090,intel,core i3,8,SSD,512,intel,integrated,14.0,windows,1
928,acer,Acer Predator Helios 16 NH.QJRSI.003 Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),184999,intel,core i9,16,SSD,1024,nvidia,dedicated,16.0,windows,1
929,acer,Acer Predator Helios 16 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 12GB Graph),249990,intel,core i9,32,SSD,1024,nvidia,dedicated,16.0,windows,1
930,lenovo,Lenovo V14-IGL 82C40185PB Laptop (Celeron N4020/ 4GB/ 256GB SSD/ DOS),21990,intel,celeron,4,SSD,256,intel,integrated,14.0,dos,1
931,lenovo,Lenovo V14 82KAA04QIH Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ DOS),45990,intel,core i5,8,SSD,512,intel,integrated,14.0,dos,1
932,lenovo,Lenovo ThinkBook 15 G3 21A4A08WIH Laptop (AMD Ryzen 3 5300U/ 8 GB/ 512 GB SSD/ Win11 Home),33490,amd,ryzen 3,8,SSD,512,amd,integrated,15.6,windows,1
933,lenovo,Lenovo V15 G2 82KDA022IH Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),35890,amd,ryzen 5,8,SSD,512,amd,integrated,15.6,windows,1
934,asus,Asus Vivobook Pro 15 OLED M3500QC-L1712WS Laptop (Ryzen 7 5800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),79500,amd,ryzen 7,16,SSD,1024,nvidia,dedicated,15.6,windows,1
935,fujitsu,Fujitsu FMV MH 4ZR1K10326 Laptop (AMD Ryzen 7 5825U/ 16GB/ 512GB SSD/ Win11),56494,amd,ryzen 7,16,SSD,512,amd,integrated,15.6,windows,2
936,hp,HP 15s-eq2223AU Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),43190,amd,ryzen 5,8,SSD,512,amd,integrated,15.6,windows,1
937,msi,MSI Modern 15 B7M-072IN Laptop (Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11),43990,amd,ryzen 5,8,SSD,512,amd,integrated,15.6,windows,1
938,dell,Dell XPS 9315 D560076WIN9S Laptop (12th Gen Core i5 / 16GB/ 512GB SSD/ Win11),119600,intel,core i5,16,SSD,512,intel,integrated,13.0,windows,1
939,acer,Acer Aspire 3 A315-24P Laptop (Ryzen 3 7520U/ 8GB/ 256GB SSD/ Win11 Home),27990,amd,ryzen 3,8,SSD,256,amd,integrated,15.6,windows,1
940,lenovo,Lenovo IdeaPad 3 15ITL6 82H803DNIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),36490,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
941,msi,MSI Modern 15 B7M-071IN Laptop (AMD Ryzen 5-7530U/ 16GB/ 512GB SSD/ Win11),48990,amd,ryzen 5,16,SSD,512,amd,integrated,15.6,windows,1
942,lenovo,Lenovo Thinkpad E15 21E6S05A00 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),45990,intel,core i3,8,SSD,512,intel,integrated,15.6,windows,1
943,lenovo,Lenovo Thinkpad E15 21E6S05G00 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),65999,intel,core i5,8,SSD,512,intel,integrated,15.6,dos,1
944,dell,Dell Vostro 5620 M552319WIN9S Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 2GB Graph),87990,intel,core i7,16,SSD,512,nvidia,dedicated,16.0,windows,1
945,lenovo,Lenovo E41-55 82FJ00A0IH Laptop (AMD Ryzen 3 3250U/ 8GB/ 1TB HDD/ DOS),33990,amd,ryzen 3,8,HDD,1024,amd,integrated,14.0,dos,1
946,asus,Asus Vivobook Go 15 OLED 2023 E1504FA-LK541WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),50785,amd,ryzen 5,16,SSD,512,amd,integrated,15.6,windows,1
947,hp,HP Pavilion 15s-fq5013nia Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),57990,intel,core i5,8,SSD,512,intel,integrated,15.6,windows,1
948,lenovo,Lenovo Thinkpad P16s 21BTS02000 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Pro/ 4GB Graph),146271,intel,core i7,16,SSD,1024,nvidia,dedicated,16.0,windows,3
949,hp,HP 247 G8 Laptop (AMD Ryzen 3 3500U/ 8GB/ 512GB SSD/Win11),32890,amd,ryzen 3,8,SSD,512,amd,integrated,14.0,windows,1
950,lenovo,Lenovo ThinkBook 14 20VDA0V1IH Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ DOS),43500,intel,core i3,8,SSD,512,intel,integrated,14.0,dos,1
951,asus,Asus Vivobook 14 OLED 2023 M1405YA-KM541WS Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),61900,amd,ryzen 5,16,SSD,512,amd,integrated,14.0,windows,1
952,hp,HP Chromebook x360 13b-ca0006MU Laptop (MediaTek Kompanio 1200/ 8GB/ 256 GB SSD/ Chrome OS),39551,other,other,8,SSD,256,arm,integrated,13.3,chrome,1
953,hp,HP Chromebook 15a-na0012TU Laptop (Intel Celeron N4500/ 4GB/ 128GB eMMC/ Chrome OS),20990,intel,celeron,4,HDD,128,intel,integrated,15.6,chrome,1
954,lenovo,Lenovo V14 82KAA08BIH Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Dos),30990,intel,core i3,8,SSD,512,intel,integrated,14.0,dos,1
955,hp,HP 255 G8 689T4PA Laptop (Ryzen 3 3250U/ 8GB/512GB SSD/ Win11 Home),26999,amd,ryzen 3,8,SSD,512,amd,integrated,15.6,windows,1
956,lenovo,Lenovo V15 G3 82TTA01EIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ DOS),32200,intel,core i3,8,SSD,512,intel,integrated,15.6,dos,1
957,asus,Asus ROG Zephyrus M16 2023 GU604VZ-NM050WS Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 / 12GB Graph),249990,intel,core i9,32,SSD,1024,nvidia,dedicated,16.0,windows,1
958,asus,Asus Vivobook Go 14 2023 E1404FA-NK522WS Laptop (Ryzen 5 7520U / 8GB/ 512GB SSD/ Win11),44970,amd,ryzen 5,8,SSD,512,amd,integrated,14.0,windows,1
959,asus,Asus Vivobook Go 14 2023 E1404FA-NK542WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11),45690,amd,ryzen 5,16,SSD,512,amd,integrated,14.0,windows,1
960,lenovo,Lenovo Thinkbook 15 21DJA0D9IH Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),59990,intel,core i5,16,SSD,1024,intel,integrated,15.6,windows,1
961,msi,MSI Modern 14 C7M-063IN Laptop (Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11),41990,amd,ryzen 5,8,SSD,512,amd,integrated,14.0,windows,1
962,hp,HP 247 G8 796Z3PA Laptop (AMD Ryzen 3 3250U/ 8GB/ 512GB SSD/ DOS),30999,amd,ryzen 3,8,SSD,512,amd,integrated,14.0,dos,1
963,acer,Acer Nitro 5 AN515-58 UN.QFHSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),76499,intel,core i5,16,SSD,512,nvidia,dedicated,15.6,windows,1
964,msi,MSI Modern 14 C12M-440IN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),37990,intel,core i5,8,SSD,512,intel,integrated,14.0,windows,1
965,msi,MSI Modern 14 C12M-439IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),47490,intel,core i5,16,SSD,512,intel,integrated,14.0,windows,1
966,msi,MSI Prestige 13 Evo A13M-063IN Laptop(13th Gen Core i7/ 16 GB/ 1TB SSD/Win11 Home),92990,intel,core i7,16,SSD,1024,intel,integrated,13.3,windows,2
967,msi,MSI Sword 15 A12UDX-468IN Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),82990,intel,core i5,16,SSD,1024,nvidia,dedicated,15.6,windows,2
968,acer,Acer Aspire 3 A315-24P NX.KDESI.003 Laptop (Ryzen 3 7520U/ 8GB/ 512GB SSD/ Win11 Home),29990,amd,ryzen 3,8,SSD,512,amd,integrated,15.6,windows,1
969,asus,Asus Vivobook Go 14 2023 E1404FA-NK322WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),32190,amd,ryzen 3,8,SSD,512,amd,integrated,14.0,windows,1
970,asus,Asus Vivobook Pro 15 M6500QC-HN742WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),68990,amd,ryzen 7,16,SSD,512,nvidia,dedicated,15.6,windows,1
971,lg,LG Gram 16T90Q-G.AH75A2 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),118499,intel,core i7,16,SSD,512,intel,integrated,16.0,windows,1
972,msi,MSI Prestige 14 Evo B13M-279IN Laptop(13th Gen Core i7/ 16 GB/ 1TB SSD/Win11 Home),87391,intel,core i7,16,SSD,1024,intel,integrated,14.0,windows,2
973,acer,Acer Nitro 5 AN515-47 NH.QL3SI.001 Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),68999,amd,ryzen 5,8,SSD,512,nvidia,dedicated,15.6,windows,1
974,msi,MSI Modern 15 B13M-289IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),50591,intel,core i5,16,SSD,512,intel,integrated,15.6,windows,1
975,msi,MSI Modern 14 C13M-435IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),60990,intel,core i7,16,SSD,512,intel,integrated,14.0,windows,1
976,asus,Asus ROG Strix SCAR 16 2023 G634JZ-N4062WS Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph),279990,intel,core i9,32,SSD,1024,nvidia,dedicated,16.0,windows,1
977,msi,MSI Modern 14 C13M-436IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),53990,intel,core i5,16,SSD,512,intel,integrated,14.0,windows,1
978,msi,MSI Modern 14 C13M-437IN Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),40990,intel,core i5,8,SSD,512,intel,integrated,14.0,windows,1
979,hp,HP Spectre x360 14-ef0075TU Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),154999,intel,core i7,16,SSD,1024,intel,integrated,13.5,windows,1
980,asus,Asus Vivobook Flip 14 2023 TN3402YAB-LZ522WS Laptop (Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),54990,amd,ryzen 5,8,SSD,512,amd,integrated,14.0,windows,1
981,msi,MSI Katana 15 B13VFK-296IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),119990,intel,core i7,16,SSD,1024,nvidia,dedicated,15.6,windows,2
982,asus,Asus Zenbook 14 OLED 2023 UM3402YA-KM551WS Laptop (Ryzen 5 7530U / 16GB/ 1TB SSD/ Win11 Home),77990,amd,ryzen 5,16,SSD,1024,amd,integrated,14.0,windows,1
983,asus,Asus Vivobook 16 2023 M1605YA-MB551WS Laptop (Ryzen 5 7530U / 16GB/ 1TB SSD/ Win11 Home),66990,amd,ryzen 5,16,SSD,1024,amd,integrated,16.0,windows,1
984,asus,Asus Vivobook 16 2023 M1605YA-MB541WS Laptop (Ryzen 5 7530U / 16GB/ 512GB SSD/ Win11 Home),59990,amd,ryzen 5,16,SSD,512,amd,integrated,16.0,windows,1
985,acer,Acer Nitro 5 AN515-47 NH.QL3SI.003 Gaming Laptop (AMD Ryzen 7 7735HS/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),75500,amd,ryzen 7,8,SSD,512,nvidia,dedicated,15.6,windows,1
986,asus,Asus Vivobook Pro 15 M6500QC-HN542WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),65990,amd,ryzen 5,16,SSD,512,nvidia,dedicated,15.6,windows,1
987,msi,MSI Thin GF63 12VE-070IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/6GB Graphics),91990,intel,core i7,16,SSD,512,nvidia,dedicated,15.6,windows,2
988,asus,Asus Vivobook Go 15 2023 E1504FA-NJ522WS Laptop (Ryzen 5 7520U / 8GB/ 512GB SSD/ Win11 Home),44990,amd,ryzen 5,8,SSD,512,amd,integrated,15.6,windows,1
989,asus,Asus Zenbook 14 2023 UM3402YA-KP541WS Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),67990,amd,ryzen 5,16,SSD,512,amd,integrated,14.0,windows,1
990,hp,HP Chromebook 15a-na0008TU Laptop (Intel Celeron N4500/ 4GB/ 128GB eMMC/ Chrome OS),20990,intel,celeron,4,HDD,128,intel,integrated,15.6,chrome,1
